DATE,TICKER,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_MONTH,MONTH,QUARTER,YEAR,CLOSE_LAG_1,CLOSE_LAG_2,CLOSE_MA_3,XGB,MODEL_TYPE,ET,ADA,FORECAST,RUN_DATE
2024-07-03,BBSE3.SA,3,2,1,7,3,2024,32.83,32.82,32.86,,AdaBoostRegressor,,32.78,32.78,2024-07-05
2024-07-04,BBSE3.SA,4,3,1,7,3,2024,32.77814285714286,32.83,32.809380952380955,,AdaBoostRegressor,,32.75,32.75,2024-07-05
2024-07-05,BBSE3.SA,5,4,1,7,3,2024,32.754384615384616,32.77814285714286,32.78750915750916,,AdaBoostRegressor,,32.75,32.75,2024-07-05
2024-07-08,BBSE3.SA,8,0,2,7,3,2024,32.754384615384616,32.754384615384616,32.76230402930403,,AdaBoostRegressor,,32.75,32.75,2024-07-05
2024-07-09,BBSE3.SA,9,1,2,7,3,2024,32.754384615384616,32.754384615384616,32.754384615384616,,AdaBoostRegressor,,32.75,32.75,2024-07-05
2024-07-10,BBSE3.SA,10,2,2,7,3,2024,32.754384615384616,32.754384615384616,32.754384615384616,,AdaBoostRegressor,,32.75,32.75,2024-07-05
2024-07-03,CSMG3.SA,3,2,1,7,3,2024,20.05,19.91,20.283333333333335,19.61,XGBRegressor,,,19.61,2024-07-05
2024-07-04,CSMG3.SA,4,3,1,7,3,2024,19.614946365356445,20.05,19.858315455118817,19.68,XGBRegressor,,,19.68,2024-07-05
2024-07-05,CSMG3.SA,5,4,1,7,3,2024,19.678258895874023,19.614946365356445,19.781068420410154,19.82,XGBRegressor,,,19.82,2024-07-05
2024-07-08,CSMG3.SA,8,0,2,7,3,2024,19.822038650512695,19.678258895874023,19.705080032348633,20.17,XGBRegressor,,,20.17,2024-07-05
2024-07-09,CSMG3.SA,9,1,2,7,3,2024,20.165067672729492,19.822038650512695,19.888456344604492,20.41,XGBRegressor,,,20.41,2024-07-05
2024-07-10,CSMG3.SA,10,2,2,7,3,2024,20.410390853881836,20.165067672729492,20.13249969482422,20.34,XGBRegressor,,,20.34,2024-07-05
2024-07-03,CSMG3.SA,3,2,1,7,3,2024,20.05,19.91,20.283333333333335,,ExtraTreesRegressor,20.04,,20.04,2024-07-05
2024-07-04,CSMG3.SA,4,3,1,7,3,2024,20.04022327060075,20.05,20.000074423533587,,ExtraTreesRegressor,19.99,,19.99,2024-07-05
2024-07-05,CSMG3.SA,5,4,1,7,3,2024,19.99289997875371,20.04022327060075,20.02770774978482,,ExtraTreesRegressor,19.97,,19.97,2024-07-05
2024-07-08,CSMG3.SA,8,0,2,7,3,2024,19.967048073232327,19.99289997875371,20.000057107528928,,ExtraTreesRegressor,20.14,,20.14,2024-07-05
2024-07-09,CSMG3.SA,9,1,2,7,3,2024,20.14066007068285,19.967048073232327,20.033536040889626,,ExtraTreesRegressor,20.22,,20.22,2024-07-05
2024-07-10,CSMG3.SA,10,2,2,7,3,2024,20.21586948432111,20.14066007068285,20.107859209412094,,ExtraTreesRegressor,20.26,,20.26,2024-07-05
2024-07-03,CSMG3.SA,3,2,1,7,3,2024,20.05,19.91,20.283333333333335,,AdaBoostRegressor,,19.93,19.93,2024-07-05
2024-07-04,CSMG3.SA,4,3,1,7,3,2024,19.934047619047615,20.05,19.96468253968254,,AdaBoostRegressor,,19.93,19.93,2024-07-05
2024-07-05,CSMG3.SA,5,4,1,7,3,2024,19.926714285714286,19.934047619047615,19.970253968253967,,AdaBoostRegressor,,19.88,19.88,2024-07-05
2024-07-08,CSMG3.SA,8,0,2,7,3,2024,19.87925,19.926714285714286,19.9133373015873,,AdaBoostRegressor,,19.93,19.93,2024-07-05
2024-07-09,CSMG3.SA,9,1,2,7,3,2024,19.926,19.87925,19.910654761904762,,AdaBoostRegressor,,19.89,19.89,2024-07-05
2024-07-10,CSMG3.SA,10,2,2,7,3,2024,19.886357142857143,19.926,19.897202380952383,,AdaBoostRegressor,,19.89,19.89,2024-07-05
2024-07-03,PETR4.SA,3,2,1,7,3,2024,38.51,38.63,38.39666666666667,37.16,XGBRegressor,,,37.16,2024-07-05
2024-07-04,PETR4.SA,4,3,1,7,3,2024,37.158966064453125,38.51,38.099655354817706,36.53,XGBRegressor,,,36.53,2024-07-05
2024-07-05,PETR4.SA,5,4,1,7,3,2024,36.528343200683594,37.158966064453125,37.3991030883789,36.57,XGBRegressor,,,36.57,2024-07-05
2024-07-08,PETR4.SA,8,0,2,7,3,2024,36.565589904785156,36.528343200683594,36.7509651184082,36.3,XGBRegressor,,,36.3,2024-07-05
